gold	"Reserve deputy Robert Bates said he meant to use a Taser but accidentally shot and killed a man . Lawyer for slain man 's family says Bates was n't qualified to be on the force and received preferential treatment . `` Robert Bates has met all the requisite training required by Oklahoma to be a reserve deputy , '' Bates ' lawyer says ."								
generated	documents show bates had one taser training class to use a handgun.						to use a handgun		
									
article	"Sanaa , Yemen -LRB- CNN -RRB- As the transport plane comes in to land at Sanaa Airport , the deep scars of the brutal conflict tearing Yemen apart are only too clear : wrecked aircraft line the runway , and nearby buildings lie in ruins . To most of the outside world , this war-torn country is off limits , the weeks-long battle between Houthi rebels and Saudi-led coalition forces making it too dangerous to visit , and a no-fly zone rendering its international airport all but obsolete -- but on Tuesday , CNN was granted rare access on a desperate aid mission by Unicef , the United Nations Children 's Fund . The airport has previously been bombed . Hostilities are likely to resume before the day is out : a brief , peaceful window has been delicately negotiated following a special request from the U.N. -- but it wo n't last long . Unicef hopes there will be just enough time to deliver vital food and supplies , helping to ease the country 's worsening humanitarian crisis . More than 100,000 Yemeni civilians have fled their homes since fighting began , and OCHA , the United Nations Office for the Coordination of Humanitarian Affairs , estimates that 15.9 million people here are in need of assistance . The main terminal at El Rahaba Airport is under the control of the Houthi rebels . We ca n't get near it for fear of provoking trouble . But there is plenty to be done out on the tarmac . Within minutes of touching down , a small army of aid workers is busy unloading huge mounds of much-needed provisions . Gusts of wind blow dust across the runway , as crates and pallets of emergency nutrition and medical equipment pile up rapidly beside the plane . Unicef 's team has overcome more than one hurdle just getting it this far -- now they 'll have to work out how to distribute it to those most in need in a country paralyzed by a lack of resources . Even before Saudi airstrikes , most of the 25 million people in Yemen required humanitarian assistance to meet their most basic needs , according to the United Nations . As they work , an Air India plane is taxiing away from the terminal . Thousands have fled the country on evacuation flights in recent weeks as the situation in Yemen has deteriorated . But for those who have nowhere else to go and no chance of a flight out , mercy missions by Unicef and other NGOs like it are the only hope . READ MORE : ' A window into hell ' - desperate Yemenis flee by boatREAD MORE : Civilian catastrophe looming in YemenREAD MORE : Yemen crisis - how you can help . Bryony Jones contributed to this report ."								
gold	"Almost 16 million people in Yemen are in need of humanitarian aid , according to U.N. Planeload of aid supplies including food and medicine was flown in to Sanaa on Tuesday . A rare ceasefire was negotiated to allow the plane to land briefly ."								
generated	houthi rebels and saudi-led coalition forces blame for rare access.								very bad
									
article	"-LRB- CNN -RRB- The greater adjutant stork is a majestic bird . Standing about 5 feet tall with an average wingspan of 8 feet , it soars over the Boragaon landfill like a great protector . It knows the residents and shies away from strangers . `` They are intelligent birds . Every time I got close to them they would fly away , '' photographer Timothy Bouldry said . The dirty , wet conditions of the landfill attracted the endangered stork , and the stork attracted Bouldry . Through a series of photos taken within a day , he captures what it 's like to live inside one of the largest dumping grounds in India . The Boragaon landfill is located in the city of Guwahati , about 300 miles from Bangladesh near the Bhutanese border . It 's 94 acres of mostly fresh waste , surrounded by swamplands . -LRB- Other landfills , Bouldry says , contain older , compacted trash . -RRB- . For the past seven years , Bouldry has traveled the world photographing landfills . He 's visited places such as Haiti , Venezuela and Colombia . The greater adjutant stork initially drew Bouldry to Boragaon , but he became connected with the people . About 100 families live inside the Boragaon landfill . Every day , they search the area for treasure -- a tiny scrap of metal , a bit of plastic , maybe a bone . They use large hooks to sort through the garbage , which sometimes reaches two or three stories high . They work in teams , and more than often they are barefoot . `` They do n't look at the things they 're doing as being unsanitary or unhealthy or unsafe , '' Bouldry said . They collect plastic , metal and wires and sell it by the pound . The families make around $ 2 per day . Their homes are constructed by recycled materials , with sometimes several families living in one shanty at a time . With no electricity , no running water -- and an overabundance of trash -- they are experts at repurposing . `` You might see a refrigerator being used as a closet , '' he said . Social media . Follow @CNNPhotos on Twitter to join the conversation about photography . Some of the children living in Boragaon go to school on scholarship , but most of them work in the landfill to provide for their families . But do n't be deceived : The people living here feel anything but destitute . Bouldry uses words such as `` love , '' `` hope '' and `` spirituality '' to describe them . `` I found that the landfill community is content , '' Bouldry said . `` They are not jaded by modern civilization . '' Bouldry lives and works inside the La Chureca landfill in Nicaragua , one of the largest landfills in the world . He helps the people living there grow gardens fertilized with compost he makes with organic waste from local smoothie shops . In addition to his photography , he teaches English and yoga classes a few times per week . But why ? Bouldry went to art school in Boston . He 's no stranger to sophisticated civilization . He said he found humanitarian photo projects to be the most fulfilling , and he became especially intrigued by landfills even though they are `` scary , dirty and kind of grotesque . '' `` This is my ` thank you ' to the informal recyclers of the world , '' he said . Timothy Bouldry is a photographer based in New Hampshire . You can follow him on Facebook and Twitter ."								
gold	"Photographer Timothy Bouldry spent time at a massive landfill in Guwahati , India . About 100 families live inside the Boragaon landfill , but Bouldry said they are `` content ''"								
generated	"the landfill is located in haiti, venezuela and colombia."					the landfill is located			
									
article	"-LRB- CNN -RRB- This week 's attack on Garissa University College is Al-Shabaab 's fifth major assault in Kenya in the past year and a half . The Thursday massacre was the most deadly assault so far , with 147 dead , easily eclipsing the terrorist group 's most notorious attack , a four-day siege in late September 2013 at the Westgate Mall in Nairobi in which 67 people were killed . After the Westgate attack , Al-Shabaab unleashed a string of attacks in Kenya that have killed more than 100 people -- assaulting the coastal town of Mpeketoni on June 16 , 2014 ; shooting bus passengers who could not recite the Quran on November 22 , 2014 ; and then , days later , executing Christian quarry laborers . Why is Al-Shabaab , a Somali nationalist , Islamist group affiliated with al Qaeda , targeting Kenya ? Al-Shabaab says its attacks are to protest the more than 3,500 Kenyan soldiers participating in the African Union peacekeeping mission in Somalia . But if that is the case , why does n't Al-Shabaab target Kenyan military bases rather than attacking undefended so-called soft targets such as Kenyan malls and universities ? In fact , Thursday 's attack on the university is one more sign of the weakness of Al-Shabaab , which has steadily been losing ground for years in Somalia as a result of the African Union forces fighting them there , as well as a covert U.S. drone and Special Operations Forces campaign that has also degraded the group 's capabilities . In 2006 , Al-Shabaab controlled the Somali capital of Mogadishu and , in the following years , much of central and southern Somalia . Six years later , African Union forces had recaptured Mogadishu , parts of southern Somalia and critical cities such as Kismayo . The loss of Kismayo , Al-Shabaab 's last city stronghold and an important port , took a financial toll on the group . Ground battles with African Union forces have decimated Al-Shabaab 's rank-and-file , while U.S. drone strikes and Special Operations raids have killed some of the group 's leaders . In the past four years , according to a count by New America , the U.S. has launched a dozen drone strikes and six Special Operations raids against Al-Shabaab . These strikes and raids -- almost all occurring in southern Somalia -- have targeted the terrorist group 's training camps and leaders . American drones or special operators have killed 10 leaders : Aden Hashi Ayro , the top commander ; Ahmed Abdi Godane , Ayro 's successor ; a top commander , Sheikh Muhidin Mohamud Omar ; Saleh Ali Saleh Nabhan , a senior official who operated training camps ; commander Jabreel Malik Muhammed ; Bilal al-Berjawi , the deputy of military leader Fazul Abdullah Mohammed ; chief bomb-maker Ibrahim Ali Abdi ; intelligence chief Tahlil Abdishakur ; Yusef Dheeq , the chief of external operations and planning for intelligence and security ; and Adan Garar , who was involved in planning the Westgate Mall attack . Al-Shabaab has been unraveling for years . Thursday 's attack should remind the world that the group is a pale shadow of the organization that once dominated much of Somalia but now is reduced to high profile attacks against undefended civilian targets ."								
gold	Al-Shabaab 's attack on Garissa University College is the group 's deadliest so far in Kenya . Authors : The group is under pressure from African Union forces and a covert U.S. war .								
generated	garissa university college is al-shabaab's fifth major assault in kenya in the past year.					garissa university college is			
									
article	"-LRB- CNN -RRB- Where do you go from here ? The fourth season of `` Game of Thrones '' saw massive battles , major deaths -LRB- Tywin ! -RRB- and White Walkers , but what can fans expect Sunday as we head into a fifth season of one of the most popular shows in HBO history ? It 's the most high-profile premiere yet , airing simultaneously in 170 countries for the first time . -LRB- HBO is a Time Warner company , like CNN . -RRB- . We sought out `` Thrones '' aficionado Doug Gross , a writer for Nerdwallet and a former CNN employee , who had a few thoughts on the matter -LRB- beware , TV fans , he has read the books -RRB- . `` We 're going to start seeing some of the show 's major story arcs coming together , '' Gross said -LRB- as confirmed by the executive producers -RRB- . `` Already , Stannis has shown up at the Wall to save Jon Snow and the rest of the Night 's Watch from the wildlings , '' he said . `` Now we 'll see how his quest for the Iron Throne collides with the Watch 's supposedly non-political role protecting the realm . '' Tyrion 's path should cross with Daenerys ' this season , according to the trailers . `` Season five also will be unique in that some of the major story arcs will clearly be moving ahead of where George Martin is in the ` Song of Ice and Fire ' books , '' Gross pointed out . Executive producer David Benioff told Rolling Stone , `` We are starting to build to a crescendo , which means the battles have to get bigger and things have to get more dramatic . '' Indeed , this fifth season means we 're past the halfway point , with the show currently set to end after seven years . The Stark daughters , Arya and Sansa , will be the characters to watch this season , as will Cersei . The world of Westeros is constantly plagued by war , but is there a time when people have just had enough ? `` Wars are waged by the nobles , but it 's the common folk who suffer , '' Gross noted . `` And , this season , we 'll get a glimpse of what happens when those common people have had enough . ''"								
gold	The smash hit series `` Game of Thrones '' returns for a fifth season Sunday . Major story arcs should start to converge this year .								
generated	"the fourth season of ""game of thrones"" is ""thrones"" author doug gross says."								very bad
									
article	"-LRB- CNN -RRB- There was a larger message in the article about a purported gang rape that Rolling Stone retracted on Sunday night -- a part of the story that was never disputed : The University of Virginia is under continuing investigation over how it handles sexual assault on campus . The school has never expelled a single student for sexual assault -- even when the student admitted to it . The Virginia attorney general asked the law firm of O'Melveny & Myers to take a look at how the university historically handled allegations of sexual assault by its students . That includes how UVA officials handled the allegations in the discredited Rolling Stone article by a student the magazine called `` Jackie , '' especially since the school knew about the allegations for more than a year before the article came out . The alleged gang rape at a fraternity house was in 2012 , and Jackie told the university about it the next spring . She started telling her story very publicly , including at a `` take back the night '' rally . But Charlottesville police did n't hear about it until after a separate incident in the spring of 2014 , in which Jackie claimed someone threw a bottle that hit her in the face . When a university dean arranged for her to talk to police about that alleged assault , she also told the story of the alleged 2012 incident . In both cases , police said Jackie refused to cooperate and so they could not pursue the case . But more women came forward to talk about their experiences -- women whose stories were not as dramatic or horrific as Jackie 's . Rolling Stone 's story opened up a conversation about the topic , and then women began coming forward to talk about a culture on campus that was not sensitive to victims . Many women told CNN about a euphemism for the word rape used by other students on campus . They 'd call it a `` bad experience . '' Others told CNN that there were fraternities with reputations for being `` rapey '' and for using date-rape drugs . That some judged who could come in based on the sluttiness of a woman 's outfit . And if a woman did report her rape , some women complained that the internal process did n't seem worth it if their abuser would n't be kicked out of school . Rolling Stone had a line in its original story : `` UVA 's emphasis on honor is so pronounced that since 1998 , 183 people have been expelled for honor-code violations such as cheating on exams . And yet paradoxically , not a single student at UVA has ever been expelled for sexual assault . '' After the article published , UVA admitted this and instituted a zero-tolerance policy on sexual assault going forward -- although that policy was never defined , so it 's unclear what it means . When the story was deleted from Rolling Stone 's website , that was lost . `` You lose a lot of other people 's voices who were in that article , '' said Sarah Roderick , a survivor and UVA student , `` and a lot of good things that could have come about . Fixing problems with administration here and on our campus '' -- and , she added , across the nationo . Along with the O'Melveny & Myers investigation , there 's also an open Title IX investigation into UVA by the U.S. Department of Education as a result of a civil suit . The attorney who filed the suit , James Marsh , told CNN that UVA medical staff lost or destroyed evidence from the alleged sexual assault victim he 's representing , making it impossible for her to move forward and get justice . When the Columbia Journalism School 's 12,000-plus-word critique is summed up , it really boils down to this : The mistake could have been avoided if the writer , Sabrina Rubin Erdely , had picked up the phone and made just a few more phone calls to the friends of Jackie who she claimed were with her that night . They 'd later tell other media outlets , including CNN , that they remembered a very different story . Rolling Stone says their account would have been a red flag . And all three say they would have talked if they 'd been called . Ryan Duffin , one of the trio , said he felt deceived by Jackie , but he also pointed out that Erdely 's mistake in fact-checking was about one single incident , and the fallout has caused a much bigger issue to be lost . `` Had she gotten in direct contact with us , it probably would n't have been printed , at least in that way , '' he said . `` A lot of the article was still based in truth , but the focal point would have been different . '' It might have been less dramatic , but it would have probably focused on some of the other UVA students who shared much more common stories of acquaintance rape on campus . `` I think my problem with it was that this reporter wanted to sensationalize an experience that 's not very common , '' Roderick said . '' ... And I wonder if it would have been different if -LRB- it dealt -RRB- with someone with a less horrific story -- something that happens to more people . I think this discredits what a lot of survivors go through . Something this physically horrific is not what everyone goes through . Now it 's like , ` If I was n't assaulted by more than one man then my story is not as worthy of attention . ' It 's frustrating that this is how rape is portrayed on college campuses because this is not the norm . '' Before the report came out , Abraham Axler , the student body president , said that some good had come from the article because it forced UVA to institute new policies and to open up a conversation on a topic that needed to be discussed nationwide . But some survivors and advocates are afraid the retraction set back their progress . `` I do feel like there 's a possibility people will be afraid to come forward . If you come forward and share your story , if you do n't have the date right , every detail down , you 'll think , ` I 'm going to be accused of being a liar . It 's easier for me to keep it to myself , ' '' Roderick said . `` There are very serious and unresolved questions about the university 's performance , '' said Steve Coll , dean of the Columbia School of Journalism . `` Rolling Stone teed that subject up . I would n't say that everything about Rolling Stone 's treatment of that subject was perfect , but it certainly does n't fall under the same category as their reporting about Jackie 's narrative . ''"								
gold	"University of Virginia is under continuing investigation over how it handles sexual assault on campus . Some fear retraction of Rolling Stone story about one case takes focus off the broader issue . After the story came out , UVA instituted a zero-tolerance policy on sexual assault going forward ."								
generated	the school has never expelled a female student for sex assault.						female student		
									
article	"-LRB- CNN -RRB- Are we alone in the cosmos ? Or might there be intelligent life elsewhere ? Last week , NASA scientists discussed in very concrete terms the steps to discovering life elsewhere in the universe over the next decade or two . This year is the 20th anniversary of the discovery of a planet around a star like our own sun , 51 Pegasi . Since then , ground-based surveys and NASA 's Kepler satellite have discovered nearly 2,000 confirmed `` exoplanets , '' and thousands more candidates await confirmation . Many of these planetary systems are quite unlike our own solar system . Some have large planets like Jupiter that orbit their stars far closer than Mercury , the innermost planet in our solar system . But smaller rocky planets like Earth , though harder to find , appear to be even more abundant . Life on Earth developed in its oceans about a billion years after the planet formed . That suggests that rocky planets with liquid water on their surfaces might also have developed primitive forms of life . Life as we know it is carbon-based and requires liquid water . Astronomers define the `` habitable zone '' around a star as the region within which liquid water can exist on a planet 's surface . Any closer to the star , the water will boil into vapor ; any farther and the water freezes into ice . Extrapolating from discoveries to date , astronomers estimate there are perhaps 40 billion Earth-like , habitable-zone planets in our Milky Way galaxy alone . Of course , there is a difference between single-celled organisms -- which developed 3.8 billion years ago and remained the most sophisticated form of life for another billion years or so -- and mammals , which appeared about 200 million years ago . And then the humans , who have existed for only 200,000 years . Intelligent life that can communicate via radio waves with other intelligent life is less than 100 years old here on Earth . So while planets that develop simple forms of life may be a dime a dozen , the number that have sentient beings with whom to converse -- even assuming they evolved as humans did , with ears and spoken language , or eyes and written language -- is likely to be tiny . And life that can use radio waves has existed on Earth for only 0.000002 % of the planet 's history -- 100 years out of 4.5 billion . If the half dozen or so rocky , Earth-like exoplanets now known are similar , the odds of discovering humanlike life on them are about the same as , well , winning your state lottery with one ticket . Of course , if there are 40 billion Earth-like planets out there , the odds improve quite a bit . If they all have histories like the Earth 's , there might be 1,000 planets in the Milky Way that could support communicative beings . But before you start composing your first letter to an alien , think about this : The chance that those beings evolved on exactly the same time scale is minuscule . Another planet 's 100 years of brilliance might have occurred a billion years ago , or it might happen a billion years in the future . A lot depends on how long communication capabilities last . Civilizations that can build huge telescopes and broadcast stations also have the technology to destroy their planet . So the duration of the Communication Age on a planet could be short . Not to mention : The average light-travel-time to such a planet could be tens of thousands of years , so unless humans evolve to be ageless , we 're not exchanging IMs with aliens anytime soon . If advanced civilizations can maintain their capabilities for millions of years or more , the chances of communicating with them are not negligible . But in that case , they are likely to be far more sophisticated than we are -LRB- since they developed the capability far earlier than we did -RRB- -- so if they wanted us to know they exist , would n't they simply tell us ? The SETI project has been listening for such broadcasts for more than 30 years in the search for extraterrestrial intelligence . Probably the most likely form of life on exoplanets is far more primitive . Astronomers have found signatures of organic molecules , the building blocks of life , in the interstellar material that permeates the space between stars in our galaxy . Possible signatures of living organisms on distant exoplanets include an oxygen-rich atmosphere , such as that created by the first bacteria on Earth , or perhaps methane or carbon dioxide . NASA 's James Webb Space Telescope , to be launched in 2018 , will look for evidence of life in the atmospheres of rocky , habitable exoplanets . NASA 's rovers have shown that Mars was once much more habitable . It had fresh-water lakes and streams of water running along its surface . Some water still remains , and there may yet be life discovered on Mars . New missions plan to look at Europa and Ganymede , moons of Jupiter that have liquid water below their icy surfaces . Life elsewhere in the universe , and even elsewhere in our own Milky Way galaxy , is practically inevitable . Signs of life on exoplanets orbiting nearby stars will probably be discovered in the coming decades with advanced telescopes . But the chance of talking to those little green men will probably have to wait for another few hundred million years ."								
gold	"NASA scientists discuss steps to discover life elsewhere in the universe over the next two decades . Meg Urry : Life elsewhere in the universe , and even elsewhere in our own Milky Way galaxy , is practically inevitable . But the chances that we can communicate with that life are slim , she writes ."								
generated	"the ""habitable zone"" is a star in our solar system."								very bad
									
article	"Kano , Nigeria -LRB- CNN -RRB- An explosion late Thursday outside a bus station in the northeast Nigerian city of Gombe killed at least five people and injured more than a dozen others , witnesses said . The explosion outside the Bauchi Motor Park happened around 8:30 p.m. after a woman left her explosives-laden handbag near a bus filling up with passengers . The bus was heading to the central Nigerian city of Jos , 125 kilometers away . `` There has been an explosion just outside the motor park and five people have been killed while more than 12 others have been seriously injured , '' said Adamu Saidu , an employee at the bus station . `` Some of the injured have had their limbs blown off and one of them has had his eye gouged out , '' said Saidu , who was involved in the evacuation of the victims to a hospital . The woman pretended to be going to Jos and lingered around the bus , which was waiting to fill up with passengers , according to Falalu Tasiu , a grocer near the bus station . `` The woman kept talking on the phone and dropped her bag beside the bus , pretending to be waiting for the bus to fill up , '' Tasiu said . `` She moved towards shops overlooking the bus station as if she was going to buy something and disappeared . Moments later the bag exploded and set the bus on fire , killing five people and inujuring around 15 others , '' Tasiu said . Although no one has claimed responsibility for the attack , Boko Haram Islamists have repeatedly carried out suicide and bombing attacks on bus stations and markets in Gombe and other northern cities , making the group the main suspect . Boko Haram has in recent months been under sustained pressure from sweeping offensives from a four-nation regional alliance of Nigeria , Chad , Niger and Cameroon . The regional offensives have considerably weakened Boko Haram 's capabilities , which has prompted the Islamists to resort to attacks on soft targets such as bus stations , markets and schools . The explosion was the first attack since Nigeria held its presidential election at the weekend , which was won by opposition candidate Muhammadu Buhari , who vowed to crush Boko Haram when he assumes office in late May ."								
gold	"Woman leaves explosives-laden handbag beside bus during boarding . No group has claimed responsibility , but Boko Haram is suspected ."								
generated	the blast is the first of the attack in nigerian city.						first of the attack		
									
article	"-LRB- CNN -RRB- For those wondering if we would ever hear from the Bluth family again , the answer would appear to be yes . `` Arrested Development '' executive producer Brian Grazer said the show will return for a fifth season of 17 episodes . The Hollywood mogul was interviewed on Bill Simmons ' podcast recently , and let it drop that fans can expect more of the quirky comedy . Netflix had no comment for CNN when asked to verify his statements . The fourth season was streamed exclusively on Netflix in 2013 , after Fox canceled the show several years before . Despite critical acclaim , the series never had big ratings , but has a devoted fan base , who often quote from the show . It was not yet known if the full cast , including Jason Bateman , Michael Cera and Will Arnett , will return for the season ."								
gold	"Fan favorite series `` Arrested Development '' to return for a fifth season , according to producer . Brian Grazer claimed the show would be back in a podcast . Netflix is not commenting ."								
generated	the full cast will return for the season.								very bad
									
article	"-LRB- CNN -RRB- I remember the day I stopped praying . It was the day after my little brother , Jimmy , died of cancer . He was 25 . I was so angry at God . I was 27 at the time , and , like most young people I had stopped going to church . But , on that day -- that terrible day -- I desperately needed to understand why God took my brother . I called the nearest Catholic church , looking for a priest . A lady picked up the phone . `` Can I talk with Father ? '' I asked . I wish I could say her answer was `` yes . '' Instead , she asked me if I was a member of that particular parish . `` Does it matter ? '' I asked . -LRB- At the time I lived far from my home parish . -RRB- I do n't remember how she responded , but the answer about my being able to see Father was clearly no . I do n't know if all Catholic churches would have shut me out , but I figured , at the time , it was part of the long list of rules the Vatican required Catholic leaders to follow . I cried for a bit , then decided I would never ask God for anything . Clearly , his conduits on Earth did not have time for me -- a lifelong Catholic -- and sinner -- so why would he ? Ever since , I 've considered myself a lapsed Catholic . Until Pope Francis . There is something about Francis that 's reawakened my faith . And it 's not because he opened the floodgates to allow sin in the eyes of the church . He still argues against things I passionately support , but I find myself -- like many other lapsed Catholics -- enthralled . Recently I had the pleasure of meeting one of the Pope 's newly appointed cardinals . His name is Cardinal Gerald Lacroix . The 57-year-old presides at the Basilica Cathedral of Notre Dame in Quebec City . One of my first questions : What is it about Pope Francis ? `` Every person is a mystery you know . ... But what 's evident is this man is living with such freedom , such inner freedom . He 's himself . He 's in tune with the Lord , '' Lacroix told me . `` Those close to him say he 's up close to 4 in the morning to prepare his daily Mass , which is at 7 in the morning on the weekdays . So that 's almost three hours of prayer , preparation and silence before the Lord and the word of God . Wow , that really fine-tunes you to start off a day . '' Perhaps that 's how the Pope stays humble . Why he defies tradition and washes the feet of the disabled , women and those of other faiths . Why he ordered showers to be built for the poor in St. Peter 's Square . All of this is appealing , but it 's more than that . In my mind , it 's his tone . When Pope Francis said , `` If a person is gay and he searches for the Lord and has good will , who am I to judge ? '' The comment took me aback . Homosexuality has long been a taboo subject for the Vatican , yet Pope Francis uttered those welcoming words . Lacroix likened the Pope 's approach to Jesus . `` Jesus did n't judge . Jesus did not come as a judge . He came as someone who preached and talked about the love of God . '' Those kinds of answers are so different in my experience , but I understand why more conservative Catholics worry . If the Pope does not judge , then who will tell us who is a sinner and who is not ? `` I hear that sometimes , too , '' Lacroix told me . `` I think Pope Francis is conservative in the right way . You have to be conservative enough to come back to what is the foundation : that 's the Gospel . You can not reproach Pope Francis of not living the Gospel , or not preaching the truth of the Gospel . '' But is n't homosexuality a sin in the eyes of the church ? `` There is room for everyone . The door is open , '' Cardinal Lacroix insisted . `` Of course you know that the Catholic Church will never promote same sex marriage , but do we respect homosexual persons ? Do we welcome them ? Do we accompany them ? Of course . But to respect the Church and its teaching , which is based on a long tradition and also the word of God , we will not go so far as to bless . But that does n't mean we reject . '' That last sentiment -- `` that does n't mean we reject . '' -- did it for me . I finally understood why Pope Francis reawakened my faith . I always felt my church would reject me for committing the smallest of sins . Like calling a priest at a church that was not my home parish . Like not covering my head with a traditional veil at Easter . Like accidentally eating meat on Holy Friday . Like supporting the use of contraception . But as Lacroix told me , Jesus walked with sinners until the very end . He did not banish them to fires of hell , for He refused to give up on anyone . The Cardinal 's last words to me : `` I 'm trying to do my best on -LRB- the -RRB- local level -- to have an open ear to what the church and world are experiencing . To see how we can today respond to those needs . I want people to see me , and the church , as an open heart to grow together . Not a church that 's imposing -- we have nothing to impose -- we have someone to propose : the Lord Jesus and his Gospel . '' I ca n't wait to go church next Sunday . And , yes , I will bow my head and pray for forgiveness , and if I 'm worthy , Christ 's love ."								
gold	"There is something about Pope Francis that 's reawakened her faith , say CNN 's Carol Costello . Meeting Cardinal Gerald Lacroix of Quebec showed how the Pope is putting people in place to carry out his new vision , Costello writes ."								
generated	his name is cardinal francis.				cardinal francis				
									
article	"Polk City , Florida -LRB- CNN -RRB- If you drove by it , you would n't even know it 's there . The Ringling Bros. . Center for Elephant Conservation sits on 200 acres of land in rural central Florida , halfway between Orlando and Sarasota , off a nondescript country road . An armed security guard greets you at the entrance . After a short drive down a gravel road , you get the sense this is a special place . `` You can walk around and you do n't hear anything , '' said Kenneth Feld , who opened the center in 1995 . `` These elephants , they have these large feet and they travel silently through the fields . I think it 's very peaceful . '' Twenty-nine elephants currently live here , and 13 more will join the group by 2018 , after Ringling Bros. decided this year to stop using elephants in its traveling circus . `` This was a decision that our family had discussed for quite some time , '' said Feld , chairman and CEO of Feld Entertainment , the company that owns Ringling Bros. and Barnum & Bailey . The change comes after years of repeated criticism and lawsuits by animal rights groups . The ultimate decision to phase out the elephants , Feld said , is the result of the different laws regulating the use of the animals in each of the 115 cities the circus visits every year . `` You ca n't operate any business , much less with animals , if you do n't have consistency from city to city , '' Feld said . `` It 's a definite expense to be in litigation and to be fighting legislation , and there is a saying and it 's been around for a long time : ` You ca n't fight city hall . ' And we found that to be the case in this situation . '' The circus business has been a part of the Feld family since 1967 , when Irvin Feld purchased Ringling Bros. and Barnum & Bailey . When Irvin died in 1984 , his son , Kenneth , took over . `` This is a whole family affair , '' he said . `` It 's a family affair for our family but also for all the elephants . '' When the center opened 20 years ago , it housed fewer than 10 elephants . `` It was a place for elephants to retire , '' Feld said . Today , the center houses elephants of all ages . `` We have lots of different elephants , meaning males and females , youth elephants , older elephants , so it is a great place to study behavior , '' he said . The center is also focused on breeding the animals . Wendy Kiso , a research and conservation scientist , spends her days at an onsite lab , trying to figure out how to keep the species from going extinct . Part of her lab includes several tanks that `` cryo-preserve '' elephant sperm at negative-196 degrees . `` We process the semen and we extend it in such a way that we can freeze it , '' Kiso said . `` This is a genetic resource bank for Asian elephants . '' Twenty-six elephants have been born here , Feld said . Mike , the newest pachyderm to join the group , was born at the center 's birthing barn nearly two years ago . `` We have the largest and only sustainable herd of Asian elephants in the Western Hemisphere , '' Feld said . Caring for the elephants is no small task . Trudy Williams and her husband , Jim , spend their time taking care of the animals ' daily needs . It takes the couple hours to bathe , walk and feed the elephants every day . `` First thing in the morning , we water them , and give them some treats and feed them some hay , '' Williams said . Each elephant eats about 150 pounds of food a day . Twenty-one tons of hay usually lasts only 10 days at the center . Exercise is also part of the daily routine , including stretching . `` We just do that a few times on each leg with them , just to give them a good stretch , '' Williams said . `` We do some footwork with them . All of our elephants , generally once a month , get a pedicure , just to make sure their feet are in good condition . '' All of this care is n't cheap . `` Each elephant costs over $ 65,000 a year , per year , over all the years of their life , '' Feld said . `` We 're fortunate we 're for profit . We do make a profit and we 're a privately owned family business , and so we 've made a decision we want to devote a lot of resources here . '' It 's a price Feld said he 's willing to pay to keep this species -- some varieties of which in Asia and Africa are endangered -- alive for generations to come . `` I always say , it 's sort of like Jurassic Park with a happy ending , '' Feld said . `` We knew that if we did n't do something , maybe my grandchildren would never have the opportunity to see these incredible animals . '' CNN 's Javier de Diego contributed to this report ."								
gold	"29 elephants currently live at the circus sanctuary , and 13 more will join by 2018 . The expansion comes after Ringling Bros. said it would stop using elephants in circus . $ 65,000 worth of care annually includes pedicures , stretching and tons -- literally -- of food ."								
generated	twenty-nine bros. decided to stop using elephants in its traveling circus.				twenty-nine bros.				
									
