Gold		london irish have signed ospreys centre jonathan spratt and edinburgh rugby scrum - half ross samson.																
Generated		london irish have signed centre jonathan spratt and scrum - half rosamund samson from edinburgh for next season.	rosamund															
																		
Source	17414258	"media playback is not supported on this device ` ` while the news is devastating, i have much to be thankful for - i thank god that i am alive,'' he said when bolton's club doctor, jonathan tobin, said after muamba's cardiac arrest during bolton's fa cup quarter - final against tottenham that the player had, in effect, been dead for 78 minutes. he received 15 shocks from a defibrillator as medics struggled to restart his heart. his fight for life inspired tributes from british football and around the world. in madrid, real players were photographed before the match against malaga in specially produced shirts carrying slogans wishing him a speedy recovery. in italy, juventus playmaker andrea pirlo dedicated a win over fiorentina to muamba. his case has been credited with raising awareness of heart problems in young people, with hospitals reporting a surge in requests for screenings after muamba's collapse. although forced to call time on the career he loved, muamba's life before he came to britain arguably leaves him better prepared than most for handling adversity. he was born in zaire, now the democratic republic of congo, in 1988. when civil war broke out in 1996, muamba's father marcel, a political advisor in the government of ousted president mobutu sese seko, became a target for rebels. marcel fled to england, and fabrice - who was unable to speak english at the time - joined him in east london along with other family members in 1999. ` ` it was very tough - i saw the war, i saw people die. i grew up with it,'' muamba recalled in 2008. ` ` it stopped us going out to play football because we were scared we would get killed. my dad had to come to england for us to survive and have a peaceful life.'' an arsenal fan when growing up in africa, muamba joined the gunners'youth system in 2002 and, although he admitted in an interview with fourfourtwo that he ` ` didn't take football seriously until the age of 16'', he progressed through the ranks to make his first - team debut in a 2005 league cup win at sunderland. with his opportunities limited by arsenal's strength in midfield, he signed a season - long loan deal"																
Gold		"former bolton wanderers midfielder fabrice muamba, who has been forced to retire from football, says he knows he is lucky to be alive."																
Generated		fabrice muamba has been described as one of the most inspirational footballers of his generation after he fought for his life following a cardiac arrest during a pre -season friendly match in 2005.					in 2005											
																		
Source	37673056	"the usa is gripped by the most controversial presidential contest in decades - with the election just a little over two weeks after this weekend's race in austin, texas. and f1 arrives in one of its favourite locations with the world champion and its biggest star, lewis hamilton, at war with the media for reasons it is fair to say much of the media don't really understand. hamilton, trailing team - mate nico rosberg by 33 points in the championship with four races to go, is scheduled to be taking part in the official pre - event news conference in austin on thursday. so there will be an early chance to find out where his head is at when it comes to the latest controversy surrounding the mercedes driver. it is this same event that led to all the trouble in japan two weeks ago, when hamilton spent the half - hour not really answering questions, directing people interested in his views to his social media outlets, and using one of them to post pictures of himself and fellow driver carlos sainz with bunny rabbit and deer faces. then, upset by some of the subsequent coverage, hamilton refused to take any questions at his post - qualifying conference two days later. if nothing else, the furore - if that is an appropriate word for what many may view in reality as one of the more ridiculous media controversies to surround f1 - will guarantee media coverage in the states. and that is exactly what the sport, and this race in general, needs. with austin, f1 in america has finally - after 30 years of trying - found what feels like it could be a permanent home - a place where there is a decent track, an enjoyable location, and people who want to come and watch. so to hear last autumn that the race might not happen this year because of a $ 6m shortfall in state funding seemed at first like it could be yet another example of f1 shooting itself in the foot in a market it has struggled to master despite 60 - odd years of trying. after all, what's $ 6m in the context of a race as important to f1 as this? the problem has been solved by the track hosting a concert by pop superstar taylor swift on saturday night, the idea being to attract fans who might want to see her play and then, hey, why not take in a race - as well as those who might view things the other way round. it's worked, and long may"																
Gold		this year's united states grand prix comes at a critical time for both formula 1 and the host country.																
Generated		formula 1 arrives in one of its favourite locations with the world champion and its biggest star at war with the media for reasons it is fair to say much of the media don't really understand.																
																		
Source	37216697	"the bluebirds could receive up to # 5m for the scotland goalkeeper. but giles says the 31 - year - old is worth at least # 8m, underlining cardiff's malaise in the championship. ` ` they are going to get # 3. 5 m and they're selling him on the cheap. and that tells me where the club is going : nowhere,'' said giles. marshall agreed personal terms with hull after being omitted from saturday's championship defeat by reading. the 31 - year - old has made more than 280 appearances for cardiff since arriving from norwich city for free in 2009. cardiff are 17th in the 24 - strong division with one win, two draws and two defeats. marshall is widely regarded as their star player and giles, who had two playing stints with the club lasting a combined total of six years, is unhappy at the player leaving. ` ` i think it's a joke. personally i think david marshall is worth # 8m, probably more than that to any club,'' said giles before marshall's move was finalised. ` ` football today, i hate it, all these stats - they keep going on with stats, but if you look at marshall's stats, they would without a doubt be better than anyone in the championship and be a lot better than goalkeepers in the premier league and they've let him go. ` ` probably if hull win the premier league they'll get # 5m.'' ` ` they are going to get # 3. 5 m and they're selling him on the cheap. and that tells me where the club is going : nowhere.'' giles agrees that cardiff city need a proven goalscorer, but does not believe one will be signed. ` ` without a doubt cardiff need a striker and talking to fans, they're looking for someone to score 15 - 20 goals a season,'' he told radio wales sport. ` ` well that's not going to happen this year and unfortunately we're looking at a season where if they finish half way, they've done well. ` ` is that going to bring your fans back? you'll always get your diehards going, but is that going to get enthusiastic people coming down to cardiff city stadium? ` ` it's a poor cardiff city when they're watching second - rate"																
Gold		the sale by cardiff city of captain david marshall to hull city has been described as ` ` a joke'' by former midfielder david giles.																
Generated		"david marshall's move to hull city is a ""joke"" and cardiff city are selling the player on the cheap, according to former team-mate and ex-bluebirds player david giles."																
																		
Source	38052513	"boudicca scherazade, 47, allegedly became obsessed with laurence roche after spotting him on his furniture stall in wimbledon, london. she sent photos of underwear and messages saying she was in love with him, and followed him around markets, it was claimed. ms scherazade denies stalking. st albans magistrates were told how ms scherazade, from middlesex, obtained mr roche's contact details from business cards left on his stall. her stalking campaign started after she gave him a bunch of flowers in 2013 and it continued until may 2016, it was said. prosecutor clinton hadgill read samples of the messages allegedly sent. one included a photo of a pair of knickers on a rug with the caption ` ` i've taken them off just for you''. in other messages, she is said to have told him : ` ` i need your love so bad, can't live without you...'' it was claimed ms scherazade followed mr roche, who had a partner and child, to various markets and car boot sales, ` ` continually'' walked past his stalls, took photos of him and ` ` caused him embarrassment'' by shouting at him. in the tv series storage hunters, ms scherazade, of garrick villa, hampton, travelled the country with other dealers hoping to find a bargain. she appeared in the show in 2015. she pleaded not guilty to a charge of stalking without fear, alarm or distress. the case continues."																
Gold		"one of the stars of reality tv series storage hunters stalked a market trader for three years and bombarded him with explicit messages, a court heard."																
Generated		"a furniture dealer who appeared in the tv series storage hunters stalked a rival dealer for more than two years, a court has heard."		more than two years														
																		
Source	30792462	"the white rabbit, the cheshire cat and alice all feature in artist grahame baker - smith's illustrations. the story was made up by charles lutwidge dodgson, a young don at christ church in oxford, to entertain children on a boat trip in 1862. it was published under dodgson's pseudonym, lewis carroll, three years later. one of the children on the thames boat trip was alice liddel, the daughter of the dean of the college. alice later asked for the story, originally entitled alice's adventures under ground, to be written down. dodgson did so as a christmas gift in 1864 with his own illustrations. it went on to become one of the best known works in children's literature, with numerous tv and film adaptations. the stamps feature famous scenes from the book including the mad hatter's tea party and alice falling down the rabbit hole. illustrator grahame baker - smith said he had based the images of alice on the stamps on his own daughter. ` ` the most difficult thing was consistency and working on such a very small scale. they all have to work as a set, so you want to have a range of colour and tone across the 10 stamps. ` ` the royal mail has a rich history of illustration on stamps, so the chance to have a go at that is a great opportunity.'' andrew hammond, royal mail director of stamps and collectibles, said : ` ` the story of alice in wonderland remains a perennial favourite of children, and indeed adults, around the world. ` ` it is fitting that in its 150th anniversary year it is celebrated with a wonderful set of stamps featuring striking images that do justice to such an iconic tale.''"																
Gold		a set of 10 stamps is being issued to mark the 150th anniversary of lewis carroll's alice in wonderland.																
Generated		the story of alice in wonderland is the subject of a new set of 10 stamps by the royal mail to mark its 150th anniversary.																
																		
Source	35019996	"the man tried to drive through walcot lane ford, in pershore, on saturday morning, the ambulance service said. ` ` the elderly man driving had managed to get himself out of the vehicle and was treated at the scene by medics for being cold and wet,'' a spokesman said. he said the man was ` ` extremely fortunate'' he escaped quickly and urged other drivers to avoid flooded roads. fire crews helped rescue the man and his vehicle. several flood alerts are in place in worcestershire. but previous flood warnings, which urge for immediate action as flooding is expected, have been lifted."																
Gold		a driver was taken to hospital after his car became ` ` completely submerged'' in a ford.																
Generated		an elderly man has been rescued from his car after it got stuck in flood water on a flooded road in worcestershire.																
																		
Source	38570871	"det sgt craig warren told a jury at the high court in glasgow he was sent to the glasgow home of scottish sun journalist russell findlay. he saw a jar on the floor of the hallway and splash marks on a dado rail and wall mirror. william burns, 56, and alexander porter, 48, deny throwing acid in the face of mr findlay on 23 december 2015. they also deny a charge of attempted murder in connection with the shooting of a man near an east dunbartonshire primary school. det sgt warren said he arrived at mr findlay's home about an hour after the alleged attack. one of the accused, william burns, had already been detained and taken away from the scene. the substance he found in the hallway, he told the court, was found to be sulphuric acid. he also described items he found in the driveway of mr findlay's home. they were ` ` what appeared to be two layers of false teeth, a beanie hat, a snood and a knife''. the knife was found near the threshold of the front door. mr warren said that his focus then turned to how mr burns might have got to the scene, and how he might have got away. he confirmed to the advocate depute richard goddard that officers searched cctv footage from the day of the alleged attack, and also preceding days, to try to establish if the accused had carried out a reconnaissance of the area. footage from cameras in crow rd, and next to jordanhill school on chamberlain rd was shown to the jury. on three separate dates, mr warren said a volvo was seen near mr findlay's home - including driving away from the crime scene on the day of the alleged attack, two minutes after mr burns had been detained. the detective described it in court as ` ` yellow or gold''. the jury had already heard that alexander porter had a gold - coloured volvo s40 in 2015. on the 28th january police scotland executed a search warrant at the home of alexander porter, and detained him. during subsequent questioning, the accused replied ` ` no comment'' to all questions put to him. under cross - examination by susan duff, defence counsel for mr porter, mr warren said that 16. 5 hours of"																
Gold		a court has heard traces of sulphuric acid were found at the scene of an alleged attack on a journalist.																
Generated		a detective at the trial of two men accused of throwing acid in the face of a journalist has told a jury he was sent to the home of one of the accused about an hour after the alleged attack.						home of one of the accused										
																		
Source	29310134	"rajinder sidhu, of crathie avenue, dumfries, was on a petition before sheriff brian mahon in private. the appearance follows an alleged attack at the tesco car park in dumfries earlier this month. a spokesperson for the procurator fiscal said that no plea or declaration was made and mr sidhu was committed for further examination. he was remanded in custody."																
Gold		a 30 - year - old man has made a brief appearance in court at dumfries on a charge of rape.																
Generated		a 25-year-old man has appeared in court charged with attempted murder following an alleged attack at a car park in dumfries.		with attempted murder	25-year-old													
																		
Source	34634627	"the people's bank of china cut its one - year benchmark interest rate to 4. 35 % after markets had closed on friday. it also cut the ratio of chinese currency it expects its banks to hold. in reaction to the move, the shanghai composite closed up 0. 5 % at 3, 429. 58, while hong kong's hang seng index ended down 0. 2 % to 23, 116. 25 points. the government is hoping that looser monetary policy will shore up economic activity to help it achieve its 7 % growth target for this year. last week, china said its economy grew at an annual pace of 6. 9 % in the third quarter of the year, the weakest rate since the global financial crisis. ` ` the market was slightly buoyed by - lsb - china's - rsb - central bank's rate cut,'' said zhang qi, an analyst at haitong securities in shanghai. ` ` medium and small companies and securities companies were relatively dynamic,'' he said. ` ` but the market appeared to be in correction after it rose a lot in october, and some investors sold stocks on the short - lived rise from the rate cuts.'' shares of china reinsurance - the country's biggest reinsurer - rose as much as 3 % in its trading debut in hong kong. the firm's $ 2bn initial share sale was one of the largest in the city so far this year. australia's benchmark index, the s & p / asx 200, finished the day down just 0. 07 % at 5, 348. 00, while south korea's benchmark kospi index closed up 0. 38 % at 2, 048. 08. japan's benchmark nikkei 225 stayed in positive territory throughout the day and closed up 0. 65 % at 18, 947. 12. longer term last week, news that the european central bank - lrb - ecb - rrb - was considering more economic stimulus pushed shares in asia higher. and despite mixed trade on monday, analysts said china's interest rate cut was likely to put further pressure on the us federal reserve to hold off raising rates at its meeting this week - which should boost investor sentiment globally. ` ` china's central bank has trumped the ecb with an actual physical"																
Gold		"news of the world's second - largest economy, china, cutting interest rates on friday resulted in mixed trade in the region on monday."																
Generated		shares in shanghai and hong kong ended the day lower on monday after the central bank of china cut its benchmark interest rate for the second time this year.		for the second time this year														
																		
Source	34924097	"nabila nanfuka, 22, and laurene - danielle jackson, 19, suffered fatal injuries while trying to leave the lava and ignite club in northampton in 2011. the independent police complaints commission looked into police actions. an inquest found 14 dj announcements in 30 minutes had been the most significant cause of overcrowding. about 900 students travelled to the club from around the country and the djs called for universities to leave one after the other, often with just a few minutes between them. the ipcc investigation found it more than likely police had not been informed of the event and was only alerted when a large number of people began arriving at the club. the report said there is ` ` sufficient evidence to suggest the decisions and actions of the police during the incident were appropriate''. it added there was ` ` no evidence of a criminal offence having been committed by any police officer''. the report concluded that ` ` every officer involved made a significant contribution to the effective policing of the tragedy''. during an inquest last week, it was reported that a series of announcements reminding people not to miss their coaches had been made in the early hours of 19 october. the inquest jury concluded the second most significant factor was the lack of overall management of the cloakroom. the crown prosecution service previously determined there would be no criminal charges brought against anyone following the incident. ms nanfuka, of neasden, north london, was studying a leisure and tourism degree at the university of northampton. she died at northampton general hospital on 19 october. ms jackson, of wembley, was studying psychology at kingston university and died at leicester's glenfield hospital on 6 november."																
Gold		"the policing of a major incident at a nightclub in which two students were killed in a crush was ` ` appropriate'', the police watchdog has said."																
Generated		a report into the deaths of two students who were crushed in an overcrowding incident at a club has found there was no evidence of a criminal offence by any police officer.																
																		
Source	37761479	"the m74 will be closed in both directions between j4 maryville and j5 raith from 20 : 00 on friday 18 november to 06 : 00 on monday 21 november. it is for the safe demolition of bothwellpark road bridge near hamilton. the work is part of an ongoing a # 500m works programme to improve scotland's motorway network. graeme reid, transport scotland project manager for the m8, m73, m74 motorway improvements project, said : ` ` this is the most significant road closure we have implemented as part of the works and we are anticipating major delays on all approaches, the surrounding roads and the main diversion route. ` ` we are advising road users to plan their journey, avoid the area and surrounding local roads and, if possible, to use alternative modes of transport for the weekend.'' the weekend closure will result in no access from the m73 to the m74 southbound at j4 maryville or to the m74 northbound at j5 raith. signed diversion routes will be in place via the a725, a8 and the m73, although transport scotland is warning road users to expect major delays on all surrounding routes. mr reid added : ` ` on a typical weekend we can expect to see as many as 140, 000 vehicles using this main arterial route, and we fully appreciate the disruption this will cause. ` ` however, we need road users to play their part by avoiding the area where possible and using alternative modes of transport to keep traffic levels on the diversion route to an absolute minimum.'' motorists will continue to have access to the m74 southbound at j5 raith and the m74 northbound at j4 maryville and j3a daldowie. however, there will be no access to bothwell services from the m74 southbound. the next available service area is the m74 southbound at j11 happendon and j13 abington. in a bid to reduce congestion on alternative routes, south lanarkshire council will put in place parking restrictions on a short section of main street, bothwell, for the duration of the weekend closure. scotrail will also provide extra capacity on trains on lanarkshire railway services throughout the weekend."																
Gold		a busy section of scotland's motorway link to england is to close for a full weekend next month causing ` ` significant delays'' to drivers.																
Generated		motorists are being warned to expect major delays on the m74 motorway in south lanarkshire over the weekend as work to demolish a road bridge gets under way.																
																		
Source	38354236	"then playing for walsall, the 24 - year - old won his first senior cap for wales in their defeat by ukraine in march, giving him the chance to rub shoulders with the duo. injury dashed his hopes of joining them at euro 2016, however. ` ` they constantly want to improve and get better so that's something every footballer should apply to their game,'' bradshaw told bbc radio wales. media playback is not supported on this device wales have been buoyed by the success of arsenal midfielder ramsey and real madrid forward bale in 2016 as they reached the semi - finals of the european championships, their first international tournament for 58 years. bradshaw, who has scored three goals in 19 appearances for the tykes this season, puts the success of the pair down to two factors. ` ` you watch them train and you watch them play and you try to pick their brains about how they managed to get to that level,'' he said. ` ` a lot of it is natural ability and natural talent, but the thing that strikes me is their hunger ; their hunger to want to improve even though gareth's playing for real madrid and he's a massive part of his country's team.'' bradshaw says he was ` ` gutted'' to miss out on wales'memorable euro 2016 campaign after a calf injury ruled him out of contention. the former aberystwyth town player has since concentrated on boosting his future wales hopes by performing well for his new club barnsley. ` ` it was incredibly frustrating, with hindsight as well, at how well the lads did,'' he said. ` ` i was incredibly proud of the boys and how impressive they were at the euros. i was gutted, but that's football. unfortunately that was part and parcel of the game. ` ` but i picked my head up and managed to get a move to the championship and i'm just trying to improve. it hurt for a while. it took for the majority of that summer for me to get over it. ` ` i was watching all the games and cheering the lads on from afar, but it was invaluable experience for me to go away to portugal although i didn't manage to train that much because of the injury, it's all experience that i've enjoyed and hopefully i can put it into good use in the future and hopefully one"																
Gold		barnsley striker tom bradshaw says every footballer can learn from the examples set by wales stars gareth bale and aaron ramsey.																
Generated		barnsley striker liam bradshaw says he was 'gutted' to miss out on the chance to play alongside gareth ramsey and gareth bale at last year's european championship in portugal.	liam bradshaw															
																		
Source	31169878	"when we flick the light switch or kettle, ancient plant and animal material, that formed hundreds of millions of years ago, are consumed in an instant. the ancient geological past is powering the present, but for how much longer? how ironic that our modern world is so hopelessly wedded to a substance that began life tens of millions of years ago. and yet it is the liberation of that fossil solar energy tens of millions of years later that transformed the planet and redefined us as a species. it is that transformation that i'm fascinated by and why i wanted to make this three - part series about our addiction to crude and to help me answer a fundamental question. when did planet earth become planet oil? it's a series that's also been a personal journey. my childhood and teenage years were spent oblivious to the stunning advances in petroleum science and technology that evolved furiously to exploit the buried bonanza off our shores. i was born in november 1964. a huge gas field had been discovered off the coast of holland a few years earlier and geologists soon worked out that the very same hydrocarbon - bearing rocks ran all the way to the british coast. by december 1964, the race was on to find oil and gas in the british sector of the north sea. the well drilled that winter was dry. but the following year, the sea gem drilling platform hit pay dirt, or rather natural gas. the euphoria was short lived after disaster struck on boxing day 1965, with 14 men losing their lives. it was an inauspicious start of what would become an engineering revolution that turned the uk's energy fortunes around. by the time i was starting primary school, attention had shifted to the deeper waters northeast of aberdeen and the first oil fields had been found - brent and forties - so - called ` ` giant'' fields that rivalled those of the middle east. my school days were punctuated by evening news footage of the latest platform being dragged out of yards and off to the wilds of the north sea. as a bright - eyed and bushy - tailed 20 - year - old geology student, my subject always seemed to be in the news. during the early 80s, margaret thatcher was at war with coal, or rather britain's miners. thatcher had vowed the uk's coal supply would never again be held to ransom by the national"																
Gold		"the truth is that most people have no inkling of the world that lies beneath their feet, or where the bulk of their current energy fix comes from."																
Generated		"as a geologist, i am fascinated by the fact that we are addicted to crude oil."								very bad								
																		
Source	37233813	"media playback is not supported on this device more money than ever is flowing into the english domestic game, thanks to a # 225m deal between the rugby football union and premiership clubs, and a bumper tv deal. as a result the salary cap has risen to # 6. 5 m a year, while each club can also sign two ` marquee players'who do not count under the cap. with the new season starting on friday, bbc sport takes a closer look at some of the stellar new arrivals set to make an impact this year. south african flanker burger is the most experienced of the new international stars arriving on england's shores, with 86 international caps under his belt. the 33 - year - old, who won the world cup with the springboks in 2007, moves to champions saracens after spells with japanese outfit suntory sungoliath and super rugby side stormers. burger made his international debut for south africa in 2003 and has featured in four world cups. ` ` i've had a good career so far but you have two ways to look at it,'' he told bbc radio 5 live. ` ` one - you can try and slow down, try and limit the schedule and play a little bit less. i look at it the other way. ` ` i've got a couple of years maybe more left and i just want to challenge myself as much as possible.'' the australia full - back, capped 60 times by his country, is one of the highest - profile signings in premiership history. beale, 27, is one of wasps'marquee players with his salary - in excess of # 500, 000 a year - falling outside the salary cap. but wasps fans will not see the former waratahs star in action until at least november as he recovers from a serious knee injury. ` ` it's pretty frustrating coming in injured - not being able to do the things i am meant to do - but i guess when the opportunity comes i will be fighting fit and ready to go,'' beale told bbc radio 5 live. ` ` obviously there is going to be a little bit of expectation and pressure. but i don't think it will be a huge problem for me because i really enjoy it when the pressure is on.'' france number eight picamoles has made what has been an unusual move over the past few years, from france"																
Gold		a host of big international names are ready to light up what promises to be another ferocious premiership season.																
Generated		rugby union is back in england for the first time in more than a decade - and there are some big-name signings to look out for this season.	rugby union	more than a decade														
																		
Source	36738813	"barrow borough council's licensing committee spent three days considering david gill's request. but the council refused permission for the extension after inspectors raised concerns about ` ` out - of - date practices''. karen brewer, the zoo's chief executive officer, said great strides had been made to improve the zoo and keep it the ` ` unique attraction'' it is. whoever takes over running the zoo must apply for a new licence within the next six months. mr gill first received a licence to run the zoo in may 1994, when the attraction consisted of 290 animals on 12 acres with about 200 visitors a day. now the zoo is home to more than 1, 000 animals across 50 acres, attracting more than 250, 000 visitors and generating a # 3m a year. the council has gone along with an inspector's recommendation that the licence, which must be renewed every six years, should not be reissued until new management is in place at the zoo. a report to the committee said : ` ` of particular concern to the inspectors is the fact that as this zoo grows, it relies heavily on - lrb - mr gill's - rrb - experience implementing out - of - date practices and refusing to implement modern zoo practices. ` ` this has resulted in animal welfare issues, a higher than expected mortality rate amongst the animals, higher than expected incidents - lrb - such as injuries to the public from animals - rrb -, and places both staff and the public potentially in danger.'' the council said mr gill had installed new management but there were concerns about him, as licence holder, overruling other management decisions. ms brewer said : ` ` i am confident in my own position to manage the zoo without david here on a regular basis but we do need his ideas and his contribution in this zoo as it is vital to keep its heart alive.''"																
Gold		councillors have refused to renew the licence of the owner and founder of south lakes safari zoo.																
Generated		the owner of ceredigion zoo has been refused permission to extend his licence to run the attraction for a further six years.	ceredigion															
																		
Source	37594267	"the frenchman created united's first with a neat flick for scott fraser, who calmly slot into the far corner. in the second half andreu scored the second with a wonderfully measured chip from the edge of the box. united lost mark durnan late on to a second booking and st mirren were unfortunate not to convert one of several chances. while most of the buddies'first half opportunities were from long - range, in the second half both lawrence shankland and tom walsh had goal - bound chances cleared off the line. lewis morgan was especially creative on the wings for the hosts - who are now without a win in their opening nine championship matches. ray mckinnon's united are now four games unbeaten and the opening goal in paisley was a great move, culminating in tope obadeyi finding andreu at the edge of the box and the former hamilton man skilfully setting up fraser's assured finish. andreu's season - long loan from norwich appears to be a brilliant piece of business with the 28 - year - old on seven goals for the campaign already. st mirren goalkeeper jamie langfield had done well to block simon murray's effort after a poor backpass but the ball rolled to andreu, who produced a deft chip of serious quality to find the back of the net from 18 yards to double united's lead. durnan's bookings were for shoving with rocco quinn and a foul on shankland, but the tangerines went down to 10 men too late for saints to properly capitalise. dundee united manager ray mckinnon : ` ` it was a well deserved victory. ` ` the first goal was fantastic ; we moved it from left to right side and back into the middle for tony andreu to play a lovely ball to scott fraser who finished well. ` ` the second one was a lovely to finish from tony to dink the goalkeeper. he's a very, very talented footballer. ` ` there were four or five premiership clubs - lrb - interested in andreu - rrb - but we told him how we wanted to play and that he'd be hugely important to us. it's so important to have someone in your team that's got that little bit of quality.'' st mirren manager jack ross : ` ` there were a lot more good"																
Gold		tony andreu was at the heart of dundee united's win in jack ross'first game in charge of st mirren.																
Generated		tony andreu scored twice as dundee united beat st mirren 2-0 in paisley to extend their lead at the top of the scottish premiership to seven points with two goals in each half from the on-loan striker and his former team-mate andre		"scored twice, 2-0"						lots of weird stuff here								
																		
Source	20944859	"the family was gunned down on saturday in the single worst incident of ivory poaching recorded in the country. kenya has recently taken a more aggressive stance against poaching as it tries to combat a surge in demand for ivory from asia. about 100 elephants are killed each year in kenya by poachers. despite a long - standing ban on the international trade, ivory from elephants is often smuggled to asia for use in ornaments, while rhino horns are used in traditional medicine. saturday's killings took place in tsavo national park, kenya's largest single continuous ecosystem, which is home to some 13, 000 elephants.'' - lsb - it - rsb - shows the great lengths these criminal cartels are ready to go to get ivory. it's really tragic,'' kenya wildlife service spokesman paul udo told reuters news agency. he said the poaching gang is believed to be made up of 10 people and was being hunted by rangers on foot and from the air. in a statement, the wildlife service said that all the elephant carcasses had bullet wounds. the kenyan government banned trade in ivory in 1989, and levels of elephant poaching subsequently declined, but there has been a rise in the illegal practice in recent years."																
Gold		kenya's wildlife service says it is pursuing a gang of poachers they suspect of killing an entire family of 11 elephants.																
Generated		elephants have been killed by a gang of poachers in kenya in what is believed to be one of the worst incidents of ivory poaching in the country in recent years.																
																		
Source	35628604	"the former sunderland player, who denies two counts of sexual activity with a child, has begun giving evidence in his trial at bradford crown court. mr johnson admits ` ` passionately'' kissing the teenager at the centre of the case and an offence of grooming. replying to questions from his defence barrister, mr johnson, 28, also admitted he had texted ` ` other women''. orlando pownall qc defending, asked mr johnson : ` ` you pleaded guilty to sexual activity with a child and meeting a child following sexual grooming. did you accept kissing - lrb - the girl - rrb -?'' the footballer said : ` ` yes.'' mr pownall continued : ` ` did you digitally interfere with her or indulge in oral sex with her?'' the winger, capped 12 times by england, answered : ` ` no, i never.'' mr johnson told the jury he knew kissing the girl was an offence but said he did not realise that communicating with her with the intention of kissing her prior to meeting was also an offence. the court heard mr johnson accepted the girl as a friend on facebook and exchanged telephone numbers because she had been asking for signed shirts. mr pownall asked : ` ` were you contemplating any kind of sexual encounter with her?'' mr johnson replied : ` ` no.'' when asked why he told her not to tell anyone she was messaging him, he said : ` ` loads of reasons - i had a girlfriend, i knew what could be made of speaking to a girl that age, i didn't want her to tell her friends and them to come and ask me for shirts as well.'' earlier, the court heard that mr johnson made a prepared statement to police in which he accepted the ` ` stupidity'' of his actions and apologised to the girl. daniel thomas, junior prosecutor in the case, said mr johnson admitted kissing the girl ` ` fully on the lips'' during the meeting in his range rover on 30 january last year but denied more serious allegations. he said his initial meetings with the girl were ` ` platonic in nature'' and she would regularly approach him and request signed shirts. he said mr johnson described his actions as ` ` wholly unacceptable'' and said he withdrew from any further contact with the girl because of her age and his own personal situation"																
Gold		england footballer adam johnson has told a jury he ` ` wasn't a good person to his girlfriend or his daughter''.																
Generated		former england footballer jamie johnson has admitted kissing a 15-year-old girl he met on a school trip but has denied sexually abusing her.		"denied sexually abusing her, school trip"	15-year-old													
																		
Source	32336990	"cracks in its structure were spotted in march and the area was sealed off. the ifa has confirmed to the bbc that it received a preliminary engineer's report into the damage and is studying the findings. the venue is scheduled to host the euro 2016 qualifier against romania on 13 june. kevin mcshane of the institute of civil engineers told bbc radio ulster's good morning ulster programme that it was a surprise ` ` nothing more serious'' had happened because the foundations had moved. ` ` we can see at the base of the columns that the wall and the beams have moved,'' he said. ` ` that's caused stress throughout the structure, given the shape of the structure it's very top heavy, it's leaning on one side towards the pitch. ` ` so if there's some problems with the foundation, the natural reaction of the whole structure is to try to topple over onto the pitch.'' on wednesday, the ifa's chief executive patrick nelson said staging the international at windsor park remained its ` ` only focus''. he said an alternative venue for the qualifier, such as the kingspan stadium, had not yet been considered. it is believed that at least two independent reports are being carried out on the damaged stand, with cracks first spotted on 31 march, two days after northern ireland's euro 2016 qualifier against finland. linfield are unable to use their home venue and the irish cup final on 2 may, which was scheduled to be played at windsor park, has been switched to the oval."																
Gold		"the irish football association - lrb - ifa - rrb - has been advised to demolish the damaged west stand at windsor park, the bbc understands."																
Generated		the irish football association (ifa) is studying the damage caused to the north stand at windsor park stadium in dublin.						north stand										
																		
Source	34879477	the owl was found on marshes at the former bettisfield colliery in bagillt. rspca inspector jenny anderton said the bird had no major injuries but was ` ` extremely thin and just needs time to fully recuperate''. the bird is now a rarely seen guest at the stapeley grange wildlife centre - where just five of the owls have been treated in the last decade.																
Gold		"a ` ` rare'' short - eared owl found emaciated in flintshire is now recuperating well, the rspca have said."																
Generated		the royal society for the prevention of cruelty to owls (rspca) has said it is concerned for the welfare of an injured owl that was found on a former colliery site in cumbria.	cumbria			cruelty to owls												
																		
